year,x,sex,dx,ex,lx,mx,qx
1981,9,female,20.6,67.38,98750.9,2.09e-4,2.09e-4
1981,9,male,24.8,61.2,98436.4,2.52e-4,2.52e-4
1981,10,female,17.1,66.39,98730.3,1.73e-4,1.73e-4
1981,10,male,32.4,60.22,98411.6,3.3e-4,3.29e-4
1981,11,female,17,65.41,98713.2,1.72e-4,1.72e-4
1981,11,male,36.9,59.24,98379.2,3.75e-4,3.75e-4
1981,12,female,14.1,64.42,98696.2,1.42e-4,1.42e-4
1981,12,male,30.9,58.26,98342.3,3.14e-4,3.14e-4
1981,13,female,25,63.43,98682.1,2.53e-4,2.53e-4
1981,13,male,21.6,57.28,98311.4,2.2e-4,2.2e-4
1981,14,female,27,62.44,98657.2,2.73e-4,2.73e-4
1981,14,male,25.2,56.29,98289.8,2.56e-4,2.56e-4
1981,15,female,29.2,61.46,98630.2,2.96e-4,2.96e-4
1981,15,male,57.4,55.3,98264.7,5.84e-4,5.84e-4
1981,16,female,17,60.48,98601,1.73e-4,1.73e-4
1981,16,male,52.4,54.33,98207.3,5.34e-4,5.34e-4
1981,17,female,32.2,59.49,98584,3.27e-4,3.27e-4
1981,17,male,101.4,53.36,98154.9,0.001034,0.001034
1981,18,female,35.2,58.51,98551.8,3.57e-4,3.57e-4
1981,18,male,125.1,52.42,98053.4,0.001276,0.001275
1981,19,female,35.7,57.53,98516.6,3.62e-4,3.62e-4
1981,19,male,100.8,51.48,97928.3,0.00103,0.00103
1981,20,female,40.7,56.55,98480.9,4.13e-4,4.13e-4
1981,20,male,129.5,50.54,97827.5,0.001325,0.001324
1981,21,female,35.1,55.57,98440.2,3.57e-4,3.57e-4
1981,21,male,117.9,49.6,97698,0.001208,0.001207
1981,22,female,28.6,54.59,98405.1,2.9e-4,2.9e-4
1981,22,male,103.6,48.66,97580.1,0.001062,0.001062
1981,23,female,32.1,53.61,98376.6,3.26e-4,3.26e-4
1981,23,male,105.6,47.71,97476.5,0.001084,0.001083
1981,24,female,28.4,52.62,98344.5,2.88e-4,2.88e-4
1981,24,male,121.8,46.76,97370.9,0.001252,0.001251
1981,25,female,42.6,51.64,98316.1,4.33e-4,4.33e-4
1981,25,male,117.2,45.82,97249.1,0.001205,0.001205
1981,26,female,44.1,50.66,98273.5,4.49e-4,4.48e-4
1981,26,male,128.9,44.88,97131.9,0.001328,0.001327
1981,27,female,61.1,49.68,98229.5,6.22e-4,6.22e-4
1981,27,male,102.8,43.94,97003,0.001061,0.00106
1981,28,female,34,48.71,98168.4,3.47e-4,3.46e-4
1981,28,male,79.8,42.98,96900.1,8.24e-4,8.23e-4
1981,29,female,46.8,47.73,98134.4,4.77e-4,4.77e-4
1981,29,male,120.2,42.02,96820.3,0.001242,0.001241
1981,30,female,77,46.75,98087.6,7.86e-4,7.85e-4
1981,30,male,122.1,41.07,96700.2,0.001264,0.001263
1981,31,female,45.4,45.79,98010.6,4.63e-4,4.63e-4
1981,31,male,96.2,40.12,96578,9.96e-4,9.96e-4
1981,32,female,62.8,44.81,97965.2,6.42e-4,6.41e-4
1981,32,male,116.9,39.16,96481.9,0.001212,0.001211
1981,33,female,83.5,43.84,97902.4,8.53e-4,8.53e-4
1981,33,male,114.6,38.21,96365,0.00119,0.001189
1981,34,female,79,42.88,97818.9,8.08e-4,8.07e-4
1981,34,male,158.8,37.25,96250.4,0.001651,0.00165
1981,35,female,64.7,41.91,97739.9,6.63e-4,6.62e-4
1981,35,male,135.6,36.31,96091.6,0.001412,0.001411
1981,36,female,102.5,40.94,97675.2,0.00105,0.00105
1981,36,male,185,35.36,95956,0.00193,0.001928
1981,37,female,95.4,39.98,97572.7,9.78e-4,9.77e-4
1981,37,male,198.5,34.43,95770.9,0.002075,0.002073
1981,38,female,114,39.02,97477.3,0.00117,0.001169
1981,38,male,178.1,33.5,95572.4,0.001866,0.001864
1981,39,female,135.9,38.06,97363.3,0.001397,0.001396
1981,39,male,237.5,32.56,95394.3,0.002492,0.002489
