country,year,sex,e0
BLR,2015,male,68.59
BLR,2016,female,79.02
BLR,2016,male,68.96
BLR,2017,female,79.22
BLR,2017,male,69.27
BLR,2018,female,79.4
BLR,2018,male,69.25
CAN,1921,female,58.22
CAN,1921,male,56.03
CAN,1922,female,58.22
CAN,1922,male,56
CAN,1923,female,58.07
CAN,1923,male,55.89
CAN,1924,female,59.84
CAN,1924,male,57.71
CAN,1925,female,60.45
CAN,1925,male,58.11
CAN,1926,female,59.14
CAN,1926,male,56.81
CAN,1927,female,59.92
CAN,1927,male,57.38
CAN,1928,female,59.87
CAN,1928,male,57.32
CAN,1929,female,59.24
CAN,1929,male,56.73
CAN,1930,female,60.35
CAN,1930,male,57.68
CAN,1931,female,61.63
CAN,1931,male,59.01
CAN,1932,female,62.52
CAN,1932,male,60.25
CAN,1933,female,63.38
CAN,1933,male,61.25
CAN,1934,female,63.98
CAN,1934,male,61.4
CAN,1935,female,63.71
CAN,1935,male,61.21
CAN,1936,female,63.79
CAN,1936,male,61.62
CAN,1937,female,62.8
CAN,1937,male,59.9
CAN,1938,female,64.89
CAN,1938,male,61.78
CAN,1939,female,65.34
CAN,1939,male,62.24
CAN,1940,female,65.65
CAN,1940,male,62.38
CAN,1941,female,65.7
CAN,1941,male,62.02
CAN,1942,female,66.52
CAN,1942,male,62.95
CAN,1943,female,66.44
CAN,1943,male,62.93
CAN,1944,female,67.02
CAN,1944,male,63.75
CAN,1945,female,68.12
CAN,1945,male,64.64
CAN,1946,female,68.33
CAN,1946,male,64.73
CAN,1947,female,68.96
CAN,1947,male,64.89
CAN,1948,female,69.42
CAN,1948,male,65.36
CAN,1949,female,69.85
CAN,1949,male,65.63
CAN,1950,female,70.58
CAN,1950,male,66.15
CAN,1951,female,70.87
CAN,1951,male,66.43
CAN,1952,female,71.39
CAN,1952,male,66.33
CAN,1953,female,71.8
CAN,1953,male,66.68
CAN,1954,female,72.7
CAN,1954,male,67.54
CAN,1955,female,72.88
CAN,1955,male,67.51
CAN,1956,female,72.82
CAN,1956,male,67.51
CAN,1957,female,72.98
CAN,1957,male,67.29
CAN,1958,female,73.68
