country,year,sex,e0,label,include,ch_e0
LTU,1992,male,64.78,Lithuania,1,-0.3499999999999943
LUX,1992,male,71.88,Luxembourg,1,-0.05000000000001137
LVA,1992,male,62.58,Latvia,1,-1.1000000000000014
NLD,1992,male,74.3,Netherlands,1,0.25
NOR,1992,male,74.17,Norway,1,0.15000000000000568
NZL_NP,1992,male,73.11,New Zealand,1,-0.15000000000000568
POL,1992,male,66.46,Poland,1,0.5899999999999892
PRT,1992,male,71.14,Portugal,1,0.5600000000000023
RUS,1992,male,61.96,Russia,1,-1.4499999999999957
SVK,1992,male,67.06,Slovakia,1,0.28000000000000114
SVN,1992,male,69.56,Slovenia,1,0.12999999999999545
SWE,1992,male,75.36,Sweden,1,0.4099999999999966
TWN,1992,male,71.84,Taiwan,1,-0.04999999999999716
UKR,1992,male,63.81,Ukraine,1,-0.8100000000000023
GBR_NP,1992,male,73.51,United Kingdom,1,0.4300000000000068
USA,1992,male,72.32,USA,1,0.28999999999999204
AUS,1993,female,80.99,Australia,1,0.5099999999999909
AUT,1993,female,79.34,Austria,1,0.20000000000000284
BEL,1993,female,79.74,Belgium,1,0.06999999999999318
BGR,1993,female,75.11,Bulgaria,1,0.3299999999999983
BLR,1993,female,74.49,Belarus,1,-0.8500000000000085
CAN,1993,female,80.79,Canada,1,-0.18999999999999773
CHE,1993,female,81.42,Switzerland,1,0.09000000000000341
CZE,1993,female,76.43,Czechia,1,0.25
DEUTNP,1993,female,79.21,Germany,1,0.06999999999999318
DNK,1993,female,77.77,Denmark,1,-0.20000000000000284
ESP,1993,female,81.34,Spain,1,0.0799999999999983
EST,1993,female,74.08,Estonia,1,-0.6899999999999977
FIN,1993,female,79.48,Finland,1,0.04000000000000625
FRATNP,1993,female,81.46,France,1,0
GRC,1993,female,80.08,Greece,1,0.3100000000000023
HUN,1993,female,73.98,Hungary,1,0.04000000000000625
IRL,1993,female,78.16,Ireland,1,-0.13000000000000966
ISL,1993,female,80.81,Iceland,1,0.09000000000000341
ISR,1993,female,79.24,Israel,1,0.5899999999999892
ITA,1993,female,80.83,Italy,1,0.1700000000000017
JPN,1993,female,82.45,Japan,1,0.15000000000000568
LTU,1993,female,74.93,Lithuania,1,-0.9399999999999977
LUX,1993,female,79.2,Luxembourg,1,0.980000000000004
LVA,1993,female,73.2,Latvia,1,-1.0999999999999943
NLD,1993,female,79.99,Netherlands,1,-0.29000000000000625
NOR,1993,female,80.24,Norway,1,-0.10999999999999943
NZL_NP,1993,female,79.18,New Zealand,1,-0.11999999999999034
POL,1993,female,75.83,Poland,1,0.29999999999999716
PRT,1993,female,78.41,Portugal,1,-0.18000000000000682
RUS,1993,female,71.84,Russia,1,-1.8599999999999994
SVK,1993,female,76.14,Slovakia,1,0.28000000000000114
SVN,1993,female,77.55,Slovenia,1,0.0799999999999983
SWE,1993,female,80.78,Sweden,1,0
TWN,1993,female,77.54,Taiwan,1,0.4100000000000108
UKR,1993,female,73.35,Ukraine,1,-0.6800000000000068
GBR_NP,1993,female,78.77,United Kingdom,1,-0.18999999999999773
USA,1993,female,78.94,USA,1,-0.2400000000000091
AUS,1993,male,75.04,Australia,1,0.5400000000000063
AUT,1993,male,72.76,Austria,1,0.2600000000000051
BEL,1993,male,72.94,Belgium,1,-0.030000000000001137
BGR,1993,male,67.57,Bulgaria,1,-0.27000000000001023
BLR,1993,male,63.73,Belarus,1,-1.1700000000000088
CAN,1993,male,74.63,Canada,1,-0.060000000000002274
CHE,1993,male,74.9,Switzerland,1,0.45000000000000284
